gen_0_4,gen_1_0,gen_2_1,gen_5_2,gen_7_3
74.8,76.4,74.8,19.3,0.0
74.7,76.4,74.7,19.2,0.0
74.6,76.2,74.6,19.2,0.0
74.3,75.9,74.3,19.2,0.0
73.9,75.6,73.9,19.2,0.0
73.5,75.1,73.5,19.2,0.0
73.0,74.6,73.0,19.2,0.0
72.5,74.1,72.5,19.2,0.0
72.0,73.5,72.0,19.2,0.0
71.4,73.0,71.4,19.2,0.0
70.9,72.5,70.9,19.3,0.0
70.5,72.0,70.5,19.3,0.0
70.1,71.7,70.1,19.4,0.0
69.9,71.4,69.9,19.4,0.0
69.8,71.3,69.8,19.5,0.0
69.7,71.2,69.7,19.6,0.0
69.6,71.1,69.6,19.7,0.0
69.6,71.1,69.6,19.7,0.0
69.5,71.0,69.5,19.8,0.0
69.4,70.9,69.4,19.9,0.0
69.2,70.7,69.2,20.0,0.0
69.0,70.5,69.0,20.1,0.0
68.9,70.3,68.9,20.2,0.0
68.7,70.2,68.7,20.4,0.0
68.5,70.0,68.5,20.5,0.0
68.4,69.9,68.4,20.6,0.0
68.3,69.8,68.3,20.7,0.0
68.2,69.7,68.2,20.9,0.0
68.1,69.5,68.1,21.0,0.0
67.9,69.3,67.9,21.1,0.0
67.6,69.1,67.6,21.3,0.0
67.2,68.7,67.2,21.4,0.0
66.8,68.2,66.8,21.6,0.0
66.3,67.8,66.3,21.7,0.0
65.8,67.2,65.8,21.9,0.0
65.3,66.8,65.3,22.0,0.0
64.9,66.3,64.9,22.2,0.0
64.5,65.9,64.5,22.3,0.0
64.2,65.6,64.2,22.5,0.0
63.9,65.3,63.9,22.6,0.0
63.7,65.1,63.7,22.8,0.0
63.4,64.8,63.4,22.9,0.0
63.1,64.5,63.1,23.1,0.0
62.8,64.2,62.8,23.3,0.0
62.5,63.8,62.5,23.4,0.0
62.2,63.5,62.2,23.6,0.0
61.8,63.2,61.8,23.7,0.0
61.5,62.9,61.5,23.9,0.0
61.3,62.6,61.3,24.0,0.0
61.1,62.4,61.1,24.2,0.0
60.9,62.2,60.9,24.3,0.0
60.8,62.1,60.8,24.4,0.0
60.7,62.0,60.7,24.6,0.0
60.5,61.9,60.5,24.7,0.0
60.4,61.7,60.4,24.8,0.0
60.3,61.6,60.3,25.0,0.0
60.1,61.4,60.1,25.1,0.0
60.0,61.3,60.0,25.2,0.0
59.8,61.1,59.8,25.4,0.0
59.7,61.0,59.7,25.5,0.0
59.7,61.0,59.7,25.6,0.0
59.7,61.0,59.7,25.7,0.0
59.7,61.0,59.7,25.8,0.0
59.8,61.1,59.8,26.0,0.0
59.9,61.2,59.9,26.1,0.0
59.9,61.2,59.9,26.2,0.0
60.0,61.3,60.0,26.3,0.0
60.0,61.3,60.0,26.4,0.0
60.0,61.3,60.0,26.5,0.0
59.9,61.2,59.9,26.6,0.0
59.9,61.2,59.9,26.7,0.0
59.9,61.2,59.9,26.8,0.0
59.9,61.2,59.9,26.9,0.0
60.0,61.3,60.0,27.0,0.0
60.1,61.4,60.1,27.1,0.0
60.2,61.5,60.2,27.2,0.0
60.3,61.6,60.3,27.3,0.0
60.4,61.8,60.4,27.4,0.0
60.5,61.9,60.5,27.5,0.0
60.6,61.9,60.6,27.6,0.0
60.6,61.9,60.6,27.7,0.0
60.6,62.0,60.6,27.7,0.0
60.7,62.0,60.7,27.8,0.0
60.7,62.0,60.7,27.9,0.0
60.7,62.0,60.7,28.0,0.0
60.7,62.1,60.7,28.0,0.1
60.8,62.1,60.8,28.1,0.1
60.9,62.2,60.9,28.1,0.2
61.0,62.3,61.0,28.2,0.3
61.1,62.4,61.1,28.2,0.4
61.2,62.5,61.2,28.2,0.5
61.3,62.6,61.3,28.3,0.7
61.4,62.7,61.4,28.3,0.9
61.4,62.8,61.4,28.3,1.1
61.5,62.8,61.5,28.3,1.3
61.5,62.9,61.5,28.3,1.6
61.6,62.9,61.6,28.3,1.9
61.6,62.9,61.6,28.2,2.3
61.6,62.9,61.6,28.2,2.7
61.6,62.9,61.6,28.2,3.1
61.6,63.0,61.6,28.1,3.5
61.6,63.0,61.6,28.1,4.0
61.7,63.0,61.7,28.0,4.5
61.7,63.0,61.7,28.0,5.0
61.7,63.1,61.7,28.0,5.6
61.8,63.1,61.8,27.9,6.1
61.9,63.2,61.9,27.9,6.6
61.9,63.3,61.9,27.9,7.2
62.0,63.4,62.0,27.9,7.8
62.2,63.5,62.2,27.9,8.3
