gen_0_5,gen_1_0,gen_2_1,gen_5_2,gen_5_3,gen_7_4
83.2,85.0,83.2,10.8,0.0,0.0
83.0,84.8,83.0,10.5,0.0,0.0
82.7,84.4,82.7,10.3,0.0,0.0
82.2,84.0,82.2,10.2,0.0,0.0
81.7,83.5,81.7,10.0,0.0,0.0
81.1,82.9,81.1,9.8,0.0,0.0
80.5,82.2,80.5,9.7,0.0,0.0
79.8,81.5,79.8,9.6,0.0,0.0
79.1,80.8,79.1,9.5,0.0,0.0
78.3,80.0,78.3,9.5,0.0,0.0
77.7,79.4,77.7,9.4,0.0,0.0
77.1,78.8,77.1,9.3,0.0,0.0
76.6,78.3,76.6,9.3,0.0,0.0
76.2,77.9,76.2,9.3,0.0,0.0
75.9,77.6,75.9,9.3,0.0,0.0
75.7,77.4,75.7,9.4,0.0,0.0
75.5,77.2,75.5,9.4,0.0,0.0
75.4,77.0,75.4,9.4,0.0,0.0
75.2,76.8,75.2,9.5,0.0,0.0
74.9,76.5,74.9,9.5,0.0,0.0
74.6,76.2,74.6,9.6,0.0,0.0
74.3,75.9,74.3,9.6,0.0,0.0
74.0,75.6,74.0,9.7,0.0,0.0
73.7,75.3,73.7,9.8,0.0,0.0
73.5,75.1,73.5,9.9,0.0,0.0
73.2,74.8,73.2,10.0,0.0,0.0
73.0,74.6,73.0,10.1,0.0,0.0
72.8,74.4,72.8,10.3,0.0,0.0
72.5,74.1,72.5,10.4,0.0,0.0
72.3,73.8,72.3,10.5,0.0,0.0
71.9,73.4,71.9,10.6,0.0,0.0
71.4,73.0,71.4,10.8,0.0,0.0
70.9,72.4,70.9,10.9,0.0,0.0
70.3,71.8,70.3,11.1,0.0,0.0
69.7,71.2,69.7,11.2,0.0,0.0
69.2,70.6,69.2,11.4,0.0,0.0
68.6,70.1,68.6,11.5,0.0,0.0
68.2,69.7,68.2,11.7,0.0,0.0
67.8,69.3,67.8,11.8,0.0,0.0
67.4,68.9,67.4,12.0,0.0,0.0
67.1,68.6,67.1,12.1,0.0,0.0
66.8,68.2,66.8,12.2,0.0,0.0
66.4,67.9,66.4,12.3,0.0,0.0
66.1,67.5,66.1,12.5,0.0,0.0
65.7,67.1,65.7,12.6,0.0,0.0
65.3,66.7,65.3,12.7,0.0,0.0
64.9,66.3,64.9,12.8,0.0,0.0
64.6,66.0,64.6,12.9,0.0,0.0
64.3,65.7,64.3,13.0,0.0,0.0
64.1,65.5,64.1,13.1,0.0,0.0
63.9,65.3,63.9,13.1,0.0,0.0
63.7,65.1,63.7,13.2,0.0,0.0
63.6,65.0,63.6,13.2,0.0,0.0
63.5,64.9,63.5,13.2,0.0,0.0
63.4,64.7,63.4,13.3,0.0,0.0
63.2,64.6,63.2,13.3,0.0,0.0
63.1,64.4,63.1,13.3,0.0,0.0
62.9,64.3,62.9,13.3,0.0,0.0
62.8,64.2,62.8,13.3,0.0,0.0
62.7,64.0,62.7,13.3,0.0,0.0
62.6,64.0,62.6,13.3,0.0,0.0
62.7,64.0,62.7,13.3,0.0,0.0
62.7,64.1,62.7,13.3,0.0,0.0
62.8,64.2,62.8,13.3,0.0,0.0
62.9,64.3,62.9,13.3,0.0,0.0
63.0,64.3,63.0,13.3,0.0,0.0
63.0,64.4,63.0,13.3,0.0,0.0
63.1,64.4,63.1,13.3,0.0,0.0
63.0,64.4,63.0,13.3,0.0,0.0
63.0,64.4,63.0,13.3,0.0,0.0
63.0,64.4,63.0,13.3,0.0,0.0
63.0,64.4,63.0,13.3,0.0,0.0
63.0,64.4,63.0,13.4,0.0,0.0
63.1,64.5,63.1,13.4,0.0,0.0
63.2,64.6,63.2,13.5,0.0,0.0
63.4,64.7,63.4,13.5,0.0,0.0
63.5,64.9,63.5,13.5,0.0,0.0
63.6,65.0,63.6,13.6,0.0,0.0
63.7,65.1,63.7,13.7,0.0,0.0
63.8,65.2,63.8,13.8,0.0,0.0
63.8,65.2,63.8,13.8,0.0,0.0
63.8,65.2,63.8,13.9,0.0,0.0
63.9,65.2,63.9,14.0,0.0,0.0
63.9,65.2,63.9,14.1,0.0,0.0
63.9,65.2,63.9,14.2,0.1,0.0
63.9,65.3,63.9,14.2,0.1,0.1
64.0,65.3,64.0,14.3,0.2,0.1
64.0,65.4,64.0,14.4,0.3,0.1
64.1,65.5,64.1,14.5,0.4,0.2
64.1,65.4,64.1,14.6,0.6,0.4
64.0,65.4,64.0,14.7,1.0,0.6
63.9,65.3,63.9,14.8,1.4,0.9
63.8,65.1,63.8,14.8,1.9,1.2
63.6,65.0,63.6,14.9,2.4,1.5
63.6,64.9,63.6,15.0,2.8,1.7
63.5,64.8,63.5,15.1,3.3,1.9
63.3,64.7,63.3,15.1,3.8,2.2
63.2,64.6,63.2,15.2,4.3,2.5
63.0,64.4,63.0,15.3,4.9,2.8
62.8,64.2,62.8,15.3,5.5,3.1
62.6,64.0,62.6,15.4,6.2,3.6
62.4,63.7,62.4,15.5,6.9,4.1
62.1,63.5,62.1,15.5,7.6,4.6
61.9,63.2,61.9,15.6,8.4,5.1
61.8,63.1,61.8,15.7,9.0,5.6
61.6,63.0,61.6,15.7,9.7,6.0
61.5,62.8,61.5,15.8,10.5,6.4
61.3,62.6,61.3,15.8,11.5,6.9
61.0,62.3,61.0,15.8,12.7,7.5
60.7,62.0,60.7,15.8,14.0,8.1
60.5,61.8,60.5,15.9,15.0,8.5
60.7,62.0,60.7,15.9,15.4,8.5
61.4,62.7,61.4,15.9,14.9,8.1
62.3,63.6,62.3,16.0,13.8,7.3
63.1,64.4,63.1,16.0,12.8,6.8
63.3,64.7,63.3,16.0,12.9,7.0
62.6,63.9,62.6,16.0,14.6,8.2
61.3,62.6,61.3,16.1,17.3,10.1
60.0,61.3,60.0,16.0,20.0,12.0
59.2,60.5,59.2,16.1,21.9,13.2
59.2,60.5,59.2,16.1,22.2,13.6
59.9,61.2,59.9,16.1,21.4,13.2
60.8,62.2,60.8,16.0,20.0,12.4
61.7,63.0,61.7,16.0,18.8,11.9
62.0,63.3,62.0,16.1,18.3,12.0
61.9,63.2,61.9,16.0,18.7,12.5
61.5,62.8,61.5,16.0,19.7,13.3
61.0,62.3,61.0,16.0,21.0,13.9
60.5,61.9,60.5,16.0,22.4,14.3
60.2,61.5,60.2,16.0,23.8,14.3
59.9,61.2,59.9,16.0,25.0,14.2
59.9,61.2,59.9,16.0,25.9,13.9
59.9,61.2,59.9,16.0,26.4,13.6
60.1,61.4,60.1,15.9,26.6,13.3
60.2,61.6,60.2,16.0,26.6,13.2
60.4,61.7,60.4,15.9,26.5,13.5
60.4,61.7,60.4,15.9,26.4,14.1
60.3,61.6,60.3,15.9,26.1,14.9
60.4,61.7,60.4,15.9,25.8,15.6
60.6,61.9,60.6,16.0,25.1,16.0
61.1,62.4,61.1,16.0,24.2,15.9
61.7,63.1,61.7,16.0,23.3,15.3
62.3,63.7,62.3,16.0,22.5,14.6
62.8,64.1,62.8,16.0,22.2,14.0
62.9,64.2,62.9,16.0,22.6,13.7
62.7,64.1,62.7,16.1,23.4,13.6
62.5,63.8,62.5,16.1,24.3,13.7
62.2,63.6,62.2,16.1,25.2,14.0
62.1,63.4,62.1,16.2,25.8,14.2
62.1,63.4,62.1,16.3,26.0,14.4
62.3,63.7,62.3,16.3,25.7,14.4
62.9,64.3,62.9,16.3,24.7,14.1
63.9,65.3,63.9,16.4,23.1,13.4
65.0,66.4,65.0,16.4,21.1,12.5
66.1,67.5,66.1,16.5,19.2,11.4
67.0,68.4,67.0,16.5,17.7,10.4
67.4,68.8,67.4,16.5,16.9,9.7
67.3,68.8,67.3,16.6,16.8,9.2
66.9,68.3,66.9,16.6,17.1,9.2
66.2,67.6,66.2,16.7,17.6,9.5
65.3,66.7,65.3,16.7,18.0,10.2
64.5,65.9,64.5,16.7,18.2,10.9
63.9,65.3,63.9,16.8,18.2,11.4
63.6,65.0,63.6,16.8,17.8,11.2
63.8,65.2,63.8,16.8,17.0,10.3
64.2,65.6,64.2,16.8,16.1,9.0
64.5,65.9,64.5,16.8,15.2,7.8
64.6,66.0,64.6,16.8,14.8,7.2
64.3,65.7,64.3,16.8,14.8,7.4
63.9,65.3,63.9,16.8,14.9,7.9
63.7,65.1,63.7,16.8,14.7,8.4
63.9,65.2,63.9,16.8,13.8,8.2
64.6,66.0,64.6,16.7,12.1,7.3
65.6,67.0,65.6,16.7,10.0,5.9
66.6,68.0,66.6,16.6,7.9,4.5
67.2,68.7,67.2,16.6,6.2,3.3
67.4,68.9,67.4,16.6,5.3,2.7
67.3,68.8,67.3,16.5,5.0,2.5
67.0,68.4,67.0,16.5,5.1,2.5
66.6,68.0,66.6,16.4,5.3,2.7
66.2,67.6,66.2,16.3,5.6,2.9
65.9,67.3,65.9,16.3,5.8,3.1
65.9,67.3,65.9,16.2,5.6,3.0
66.1,67.6,66.1,16.2,5.0,2.7
66.5,68.0,66.5,16.1,4.0,2.3
67.0,68.4,67.0,16.1,3.0,1.8
67.3,68.8,67.3,16.0,2.2,1.4
67.5,69.0,67.5,16.0,1.6,1.1
67.6,69.0,67.6,15.9,1.3,0.9
67.6,69.0,67.6,15.9,1.1,0.7
67.5,69.0,67.5,15.9,1.0,0.6
67.5,69.0,67.5,15.8,0.8,0.5
67.5,69.0,67.5,15.8,0.6,0.3
67.6,69.0,67.6,15.7,0.4,0.2
67.6,69.1,67.6,15.7,0.2,0.1
67.6,69.1,67.6,15.7,0.1,0.0
67.7,69.1,67.7,15.7,0.0,0.0
67.7,69.2,67.7,15.7,0.0,0.0
67.7,69.2,67.7,15.7,0.0,0.0
67.7,69.2,67.7,15.7,0.0,0.0
67.7,69.2,67.7,15.7,0.0,0.0
67.8,69.2,67.8,15.7,0.0,0.0
67.8,69.3,67.8,15.7,0.0,0.0
67.9,69.4,67.9,15.7,0.0,0.0
68.0,69.5,68.0,15.7,0.0,0.0
68.2,69.7,68.2,15.6,0.0,0.0
68.4,69.8,68.4,15.7,0.0,0.0
68.6,70.1,68.6,15.6,0.0,0.0
68.9,70.4,68.9,15.6,0.0,0.0
69.2,70.7,69.2,15.6,0.0,0.0
69.6,71.1,69.6,15.5,0.0,0.0
70.1,71.6,70.1,15.5,0.0,0.0
70.6,72.1,70.6,15.4,0.0,0.0
71.1,72.7,71.1,15.4,0.0,0.0
71.7,73.2,71.7,15.4,0.0,0.0
72.3,73.9,72.3,15.3,0.0,0.0
72.9,74.5,72.9,15.2,0.0,0.0
73.5,75.1,73.5,15.1,0.0,0.0
74.2,75.8,74.2,15.1,0.0,0.0
74.8,76.4,74.8,15.0,0.0,0.0
75.4,77.0,75.4,14.9,0.0,0.0
76.0,77.7,76.0,14.8,0.0,0.0
76.7,78.3,76.7,14.7,0.0,0.0
77.3,79.0,77.3,14.6,0.0,0.0
77.9,79.6,77.9,14.5,0.0,0.0
78.5,80.1,78.5,14.4,0.0,0.0
79.0,80.7,79.0,14.3,0.0,0.0
79.4,81.2,79.4,14.2,0.0,0.0
79.8,81.6,79.8,14.2,0.0,0.0
80.1,81.9,80.1,14.1,0.0,0.0
80.3,82.1,80.3,14.0,0.0,0.0
80.5,82.2,80.5,14.0,0.0,0.0
80.6,82.3,80.6,13.9,0.0,0.0
80.6,82.3,80.6,13.9,0.0,0.0
80.6,82.3,80.6,13.9,0.0,0.0
80.6,82.3,80.6,13.9,0.0,0.0
80.5,82.2,80.5,13.9,0.0,0.0
80.4,82.2,80.4,13.9,0.0,0.0
80.3,82.0,80.3,13.9,0.0,0.0
80.1,81.8,80.1,14.0,0.0,0.0
79.9,81.6,79.9,14.0,0.0,0.0
79.6,81.3,79.6,14.1,0.0,0.0
79.3,81.0,79.3,14.2,0.0,0.0
78.9,80.7,78.9,14.3,0.0,0.0
78.6,80.3,78.6,14.4,0.0,0.0
78.2,79.9,78.2,14.5,0.0,0.0
77.9,79.5,77.9,14.7,0.0,0.0
77.5,79.2,77.5,14.8,0.0,0.0
77.2,78.9,77.2,14.9,0.0,0.0
76.9,78.5,76.9,15.1,0.0,0.0
76.6,78.2,76.6,15.3,0.0,0.0
76.2,77.9,76.2,15.4,0.0,0.0
75.9,77.6,75.9,15.5,0.0,0.0
75.6,77.2,75.6,15.7,0.0,0.0
75.2,76.8,75.2,15.8,0.0,0.0
74.8,76.5,74.8,16.0,0.0,0.0
74.5,76.1,74.5,16.1,0.0,0.0
74.1,75.7,74.1,16.2,0.0,0.0
73.7,75.3,73.7,16.3,0.0,0.0
73.4,75.0,73.4,16.4,0.0,0.0
73.1,74.6,73.1,16.4,0.0,0.0
72.8,74.4,72.8,16.4,0.0,0.0
72.5,74.1,72.5,16.4,0.0,0.0
72.3,73.8,72.3,16.4,0.0,0.0
72.0,73.6,72.0,16.4,0.0,0.0
71.9,73.4,71.9,16.3,0.0,0.0
71.8,73.3,71.8,16.2,0.0,0.0
71.7,73.3,71.7,16.1,0.0,0.0
71.8,73.4,71.8,16.0,0.0,0.0
72.0,73.6,72.0,15.9,0.0,0.0
72.4,74.0,72.4,15.7,0.0,0.0
72.9,74.5,72.9,15.5,0.0,0.0
73.5,75.1,73.5,15.4,0.0,0.0
74.2,75.8,74.2,15.2,0.0,0.0
74.8,76.5,74.8,15.0,0.0,0.0
75.3,77.0,75.3,14.8,0.0,0.0
75.7,77.3,75.7,14.6,0.0,0.0
75.8,77.4,75.8,14.5,0.0,0.0
75.8,77.4,75.8,14.3,0.0,0.0
75.6,77.2,75.6,14.1,0.0,0.0
75.3,77.0,75.3,13.9,0.0,0.0
75.1,76.7,75.1,13.8,0.0,0.0
74.9,76.6,74.9,13.6,0.0,0.0
74.9,76.5,74.9,13.5,0.0,0.0
74.9,76.5,74.9,13.4,0.0,0.0
74.9,76.6,74.9,13.3,0.0,0.0
75.0,76.7,75.0,13.2,0.0,0.0
75.1,76.7,75.1,13.1,0.0,0.0
75.0,76.7,75.0,13.1,0.0,0.0
74.9,76.5,74.9,13.1,0.0,0.0
74.7,76.3,74.7,13.0,0.0,0.0
74.4,76.0,74.4,13.0,0.0,0.0
74.0,75.7,74.0,13.0,0.0,0.0
73.6,75.2,73.6,13.0,0.0,0.0
73.1,74.6,73.1,13.1,0.0,0.0
72.5,74.0,72.5,13.2,0.0,0.0
71.9,73.4,71.9,13.2,0.0,0.0
71.3,72.8,71.3,13.2,0.0,0.0
70.7,72.2,70.7,13.3,0.0,0.0
70.2,71.7,70.2,13.4,0.0,0.0
69.8,71.3,69.8,13.5,0.0,0.0
69.5,71.0,69.5,13.6,0.0,0.0
69.3,70.8,69.3,13.7,0.0,0.0
69.2,70.7,69.2,13.8,0.0,0.0
69.1,70.6,69.1,13.9,0.0,0.0
69.1,70.5,69.1,14.0,0.0,0.0
69.0,70.5,69.0,14.1,0.0,0.0
68.8,70.3,68.8,14.1,0.0,0.0
68.7,70.2,68.7,14.2,0.0,0.0
68.5,69.9,68.5,14.3,0.0,0.0
68.3,69.8,68.3,14.4,0.0,0.0
68.1,69.6,68.1,14.4,0.0,0.0
68.0,69.4,68.0,14.5,0.0,0.0
67.9,69.3,67.9,14.5,0.0,0.0
67.8,69.3,67.8,14.6,0.0,0.0
67.7,69.2,67.7,14.5,0.0,0.0
67.6,69.1,67.6,14.6,0.0,0.0
67.5,68.9,67.5,14.5,0.0,0.0
67.3,68.7,67.3,14.6,0.0,0.0
67.0,68.4,67.0,14.5,0.0,0.0
66.6,68.0,66.6,14.5,0.0,0.0
66.1,67.6,66.1,14.5,0.0,0.0
65.7,67.1,65.7,14.5,0.0,0.0
65.3,66.7,65.3,14.4,0.0,0.0
65.0,66.4,65.0,14.3,0.0,0.0
64.7,66.1,64.7,14.3,0.0,0.0
64.5,65.9,64.5,14.2,0.0,0.0
64.3,65.7,64.3,14.2,0.0,0.0
64.1,65.5,64.1,14.1,0.0,0.0
64.0,65.4,64.0,14.0,0.0,0.0
63.8,65.2,63.8,14.0,0.0,0.0
63.6,65.0,63.6,13.8,0.0,0.0
63.4,64.8,63.4,13.8,0.0,0.0
63.2,64.6,63.2,13.7,0.0,0.0
63.0,64.3,63.0,13.6,0.0,0.0
62.8,64.2,62.8,13.5,0.0,0.0
62.7,64.1,62.7,13.4,0.0,0.0
62.6,64.0,62.6,13.3,0.0,0.0
62.6,64.0,62.6,13.3,0.0,0.0
62.6,64.0,62.6,13.2,0.0,0.0
62.7,64.0,62.7,13.1,0.0,0.0
62.7,64.1,62.7,13.0,0.0,0.0
62.8,64.1,62.8,12.9,0.0,0.0
62.8,64.1,62.8,12.9,0.0,0.0
62.8,64.1,62.8,12.8,0.0,0.0
62.8,64.2,62.8,12.7,0.0,0.0
62.9,64.3,62.9,12.6,0.0,0.0
63.1,64.4,63.1,12.5,0.0,0.0
63.3,64.7,63.3,12.5,0.0,0.0
63.6,65.0,63.6,12.4,0.0,0.0
64.0,65.4,64.0,12.3,0.0,0.0
64.5,65.9,64.5,12.3,0.0,0.0
64.9,66.4,64.9,12.2,0.0,0.0
65.4,66.8,65.4,12.2,0.0,0.0
65.8,67.2,65.8,12.1,0.1,0.0
66.2,67.6,66.2,12.1,0.1,0.0
66.5,67.9,66.5,12.0,0.0,0.0
66.8,68.3,66.8,12.0,0.0,0.0
67.2,68.6,67.2,11.9,0.0,0.0
67.6,69.0,67.6,12.0,0.0,0.0
68.1,69.6,68.1,11.9,0.0,0.0
68.7,70.2,68.7,11.9,0.0,0.0
69.4,70.9,69.4,11.9,0.0,0.0
70.2,71.7,70.2,11.9,0.0,0.0
71.0,72.5,71.0,11.9,0.0,0.0
71.8,73.3,71.8,11.9,0.0,0.0
72.5,74.1,72.5,11.9,0.0,0.0
73.2,74.8,73.2,11.9,0.0,0.0
73.9,75.5,73.9,11.9,0.0,0.0
74.5,76.1,74.5,11.9,0.0,0.0
75.1,76.7,75.1,11.9,0.0,0.0
75.6,77.2,75.6,12.0,0.0,0.0
76.1,77.8,76.1,12.0,0.1,0.1
76.6,78.3,76.6,12.1,0.2,0.1
77.1,78.8,77.1,12.1,0.4,0.2
77.6,79.3,77.6,12.2,0.6,0.4
78.0,79.7,78.0,12.2,0.9,0.5
78.4,80.1,78.4,12.2,1.3,0.7
78.7,80.4,78.7,12.3,1.7,0.9
78.9,80.6,78.9,12.4,2.0,1.1
79.2,80.9,79.2,12.4,2.3,1.3
79.4,81.1,79.4,12.5,2.4,1.4
79.6,81.3,79.6,12.6,2.4,1.5
79.8,81.5,79.8,12.6,2.5,1.6
79.8,81.5,79.8,12.7,2.9,1.8
79.7,81.4,79.7,12.8,3.4,2.0
79.5,81.2,79.5,12.9,4.0,2.2
79.3,81.0,79.3,12.9,4.7,2.5
79.1,80.9,79.1,13.1,5.0,2.8
79.1,80.8,79.1,13.2,5.2,3.1
