1_G,2_G,3_G,4_G,5_G,6_1_G,6_2_G,7_G,8_G,9_G,10_G,11_G,12_G,13_G,14_G
80.7,82.5,80.7,0,0,6.2,0.0,0,0.0,0,0,0,0,0,0
80.7,82.5,80.7,0,0,6.2,0.0,0,0.0,0,0,0,0,0,0
80.6,82.3,80.6,0,0,6.1,0.0,0,0.0,0,0,0,0,0,0
80.4,82.1,80.4,0,0,6.1,0.0,0,0.0,0,0,0,0,0,0
80.1,81.8,80.1,0,0,6.1,0.0,0,0.0,0,0,0,0,0,0
79.7,81.4,79.7,0,0,6.1,0.0,0,0.0,0,0,0,0,0,0
79.3,81.0,79.3,0,0,6.0,0.0,0,0.0,0,0,0,0,0,0
78.8,80.5,78.8,0,0,6.0,0.0,0,0.0,0,0,0,0,0,0
78.3,80.0,78.3,0,0,5.9,0.0,0,0.0,0,0,0,0,0,0
77.8,79.5,77.8,0,0,6.0,0.0,0,0.0,0,0,0,0,0,0
77.3,79.0,77.3,0,0,5.9,0.0,0,0.0,0,0,0,0,0,0
77.0,78.6,77.0,0,0,5.9,0.0,0,0.0,0,0,0,0,0,0
76.7,78.3,76.7,0,0,5.9,0.0,0,0.0,0,0,0,0,0,0
76.5,78.2,76.5,0,0,5.8,0.0,0,0.0,0,0,0,0,0,0
76.4,78.1,76.4,0,0,5.7,0.0,0,0.0,0,0,0,0,0,0
76.4,78.1,76.4,0,0,5.7,0.0,0,0.0,0,0,0,0,0,0
76.4,78.1,76.4,0,0,5.7,0.0,0,0.0,0,0,0,0,0,0
76.5,78.1,76.5,0,0,5.6,0.0,0,0.0,0,0,0,0,0,0
76.4,78.1,76.4,0,0,5.6,0.0,0,0.0,0,0,0,0,0,0
76.4,78.0,76.4,0,0,5.6,0.0,0,0.0,0,0,0,0,0,0
76.3,78.0,76.3,0,0,5.5,0.0,0,0.0,0,0,0,0,0,0
76.2,77.8,76.2,0,0,5.5,0.0,0,0.0,0,0,0,0,0,0
76.1,77.7,76.1,0,0,5.4,0.0,0,0.0,0,0,0,0,0,0
75.9,77.6,75.9,0,0,5.4,0.0,0,0.0,0,0,0,0,0,0
75.9,77.5,75.9,0,0,5.4,0.0,0,0.0,0,0,0,0,0,0
75.8,77.5,75.8,0,0,5.3,0.0,0,0.0,0,0,0,0,0,0
75.8,77.4,75.8,0,0,5.3,0.0,0,0.0,0,0,0,0,0,0
75.8,77.4,75.8,0,0,5.3,0.0,0,0.0,0,0,0,0,0,0
75.7,77.3,75.7,0,0,5.2,0.0,0,0.0,0,0,0,0,0,0
75.6,77.2,75.6,0,0,5.2,0.0,0,0.0,0,0,0,0,0,0
75.4,77.0,75.4,0,0,5.1,0.0,0,0.0,0,0,0,0,0,0
75.1,76.7,75.1,0,0,5.2,0.0,0,0.0,0,0,0,0,0,0
74.7,76.3,74.7,0,0,5.1,0.0,0,0.0,0,0,0,0,0,0
74.2,75.9,74.2,0,0,5.1,0.0,0,0.0,0,0,0,0,0,0
73.8,75.4,73.8,0,0,5.0,0.0,0,0.0,0,0,0,0,0,0
73.4,75.0,73.4,0,0,5.0,0.0,0,0.0,0,0,0,0,0,0
73.0,74.6,73.0,0,0,5.0,0.0,0,0.0,0,0,0,0,0,0
72.7,74.3,72.7,0,0,5.0,0.0,0,0.0,0,0,0,0,0,0
72.4,74.0,72.4,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
72.2,73.8,72.2,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
72.0,73.6,72.0,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
71.8,73.3,71.8,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
71.6,73.1,71.6,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
71.3,72.8,71.3,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
71.0,72.5,71.0,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
70.7,72.2,70.7,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
70.4,72.0,70.4,0,0,4.8,0.0,0,0.0,0,0,0,0,0,0
70.2,71.7,70.2,0,0,4.8,0.0,0,0.0,0,0,0,0,0,0
69.9,71.5,69.9,0,0,4.8,0.0,0,0.0,0,0,0,0,0,0
69.8,71.3,69.8,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
69.6,71.2,69.6,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
69.6,71.1,69.6,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
69.5,71.0,69.5,0,0,4.9,0.0,0,0.0,0,0,0,0,0,0
