gen_0_5,gen_1_0,gen_2_1,gen_5_2,gen_5_3,gen_7_4
80.7,82.5,80.7,6.2,0.0,0.0
80.7,82.5,80.7,6.2,0.0,0.0
80.6,82.3,80.6,6.1,0.0,0.0
80.4,82.1,80.4,6.1,0.0,0.0
80.1,81.8,80.1,6.1,0.0,0.0
79.7,81.4,79.7,6.1,0.0,0.0
79.3,81.0,79.3,6.0,0.0,0.0
78.8,80.5,78.8,6.0,0.0,0.0
78.3,80.0,78.3,5.9,0.0,0.0
77.8,79.5,77.8,6.0,0.0,0.0
77.3,79.0,77.3,5.9,0.0,0.0
77.0,78.6,77.0,5.9,0.0,0.0
76.7,78.3,76.7,5.9,0.0,0.0
76.5,78.2,76.5,5.8,0.0,0.0
76.4,78.1,76.4,5.7,0.0,0.0
76.4,78.1,76.4,5.7,0.0,0.0
76.4,78.1,76.4,5.7,0.0,0.0
76.5,78.1,76.5,5.6,0.0,0.0
76.4,78.1,76.4,5.6,0.0,0.0
76.4,78.0,76.4,5.6,0.0,0.0
76.3,78.0,76.3,5.5,0.0,0.0
76.2,77.8,76.2,5.5,0.0,0.0
76.1,77.7,76.1,5.4,0.0,0.0
75.9,77.6,75.9,5.4,0.0,0.0
75.9,77.5,75.9,5.4,0.0,0.0
75.8,77.5,75.8,5.3,0.0,0.0
75.8,77.4,75.8,5.3,0.0,0.0
75.8,77.4,75.8,5.3,0.0,0.0
75.7,77.3,75.7,5.2,0.0,0.0
75.6,77.2,75.6,5.2,0.0,0.0
75.4,77.0,75.4,5.1,0.0,0.0
75.1,76.7,75.1,5.2,0.0,0.0
74.7,76.3,74.7,5.1,0.0,0.0
74.2,75.9,74.2,5.1,0.0,0.0
73.8,75.4,73.8,5.0,0.0,0.0
73.4,75.0,73.4,5.0,0.0,0.0
73.0,74.6,73.0,5.0,0.0,0.0
72.7,74.3,72.7,5.0,0.0,0.0
72.4,74.0,72.4,4.9,0.0,0.0
72.2,73.8,72.2,4.9,0.0,0.0
72.0,73.6,72.0,4.9,0.0,0.0
71.8,73.3,71.8,4.9,0.0,0.0
71.6,73.1,71.6,4.9,0.0,0.0
71.3,72.8,71.3,4.9,0.0,0.0
71.0,72.5,71.0,4.9,0.0,0.0
70.7,72.2,70.7,4.9,0.0,0.0
70.4,72.0,70.4,4.8,0.0,0.0
70.2,71.7,70.2,4.8,0.0,0.0
69.9,71.5,69.9,4.8,0.0,0.0
69.8,71.3,69.8,4.9,0.0,0.0
69.6,71.2,69.6,4.9,0.0,0.0
69.6,71.1,69.6,4.9,0.0,0.0
69.5,71.0,69.5,4.9,0.0,0.0
69.4,70.9,69.4,4.9,0.0,0.0
69.3,70.8,69.3,4.9,0.0,0.0
69.2,70.7,69.2,4.9,0.0,0.0
69.1,70.6,69.1,4.9,0.0,0.0
68.9,70.4,68.9,4.9,0.0,0.0
68.8,70.3,68.8,4.9,0.0,0.0
68.7,70.2,68.7,5.0,0.0,0.0
68.7,70.2,68.7,5.0,0.0,0.0
68.7,70.2,68.7,4.9,0.0,0.0
68.8,70.3,68.8,4.9,0.0,0.0
68.9,70.4,68.9,5.0,0.0,0.0
69.0,70.5,69.0,5.0,0.0,0.0
69.1,70.6,69.1,5.0,0.0,0.0
69.2,70.7,69.2,5.0,0.0,0.0
69.2,70.7,69.2,5.0,0.0,0.0
69.2,70.7,69.2,5.0,0.0,0.0
69.2,70.7,69.2,5.0,0.0,0.0
69.2,70.7,69.2,5.0,0.0,0.0
69.2,70.7,69.2,5.0,0.0,0.0
69.2,70.7,69.2,5.0,0.0,0.0
