gen_0_5,gen_1_0,gen_2_1,gen_5_2,gen_5_3,gen_7_4
78.4,80.1,78.4,16.2,0.0,0.0
78.3,80.0,78.3,16.2,0.0,0.0
78.1,79.7,78.1,16.3,0.0,0.0
77.7,79.4,77.7,16.3,0.0,0.0
77.4,79.0,77.4,16.3,0.0,0.0
76.9,78.6,76.9,16.3,0.0,0.0
76.4,78.1,76.4,16.3,0.0,0.0
75.9,77.5,75.9,16.3,0.0,0.0
75.3,77.0,75.3,16.3,0.0,0.0
74.8,76.4,74.8,16.2,0.0,0.0
74.3,75.9,74.3,16.1,0.0,0.0
73.9,75.5,73.9,16.1,0.0,0.0
73.6,75.2,73.6,16.0,0.0,0.0
73.4,75.0,73.4,15.9,0.0,0.0
73.3,74.9,73.3,15.8,0.0,0.0
73.3,74.9,73.3,15.7,0.0,0.0
73.3,74.9,73.3,15.6,0.0,0.0
73.3,74.9,73.3,15.4,0.0,0.0
73.4,74.9,73.4,15.3,0.0,0.0
73.3,74.9,73.3,15.1,0.0,0.0
73.2,74.8,73.2,15.0,0.0,0.0
73.2,74.7,73.2,14.8,0.0,0.0
73.0,74.6,73.0,14.7,0.0,0.0
73.0,74.6,73.0,14.5,0.0,0.0
72.9,74.5,72.9,14.3,0.0,0.0
72.9,74.5,72.9,14.2,0.0,0.0
72.9,74.5,72.9,14.0,0.0,0.0
72.9,74.5,72.9,13.8,0.0,0.0
72.9,74.5,72.9,13.6,0.0,0.0
72.8,74.4,72.8,13.5,0.0,0.0
72.6,74.2,72.6,13.3,0.0,0.0
72.4,74.0,72.4,13.1,0.0,0.0
72.1,73.6,72.1,13.0,0.0,0.0
71.7,73.2,71.7,12.8,0.0,0.0
71.3,72.8,71.3,12.7,0.0,0.0
70.9,72.5,70.9,12.5,0.0,0.0
70.6,72.1,70.6,12.4,0.0,0.0
70.3,71.9,70.3,12.2,0.0,0.0
70.1,71.7,70.1,12.0,0.0,0.0
69.9,71.5,69.9,11.9,0.0,0.0
69.8,71.3,69.8,11.8,0.0,0.0
69.6,71.1,69.6,11.7,0.0,0.0
69.5,71.0,69.5,11.6,0.0,0.0
69.3,70.8,69.3,11.5,0.0,0.0
69.0,70.5,69.0,11.4,0.0,0.0
68.8,70.3,68.8,11.3,0.0,0.0
68.5,70.0,68.5,11.2,0.0,0.0
68.3,69.8,68.3,11.1,0.0,0.0
68.1,69.6,68.1,11.0,0.0,0.0
68.0,69.5,68.0,11.0,0.0,0.0
68.0,69.4,68.0,10.9,0.0,0.0
67.9,69.4,67.9,10.9,0.0,0.0
67.9,69.3,67.9,10.8,0.0,0.0
67.9,69.3,67.9,10.8,0.0,0.0
67.8,69.3,67.8,10.7,0.0,0.0
67.7,69.2,67.7,10.7,0.0,0.0
67.7,69.1,67.7,10.6,0.0,0.0
67.6,69.0,67.6,10.6,0.0,0.0
67.5,69.0,67.5,10.6,0.0,0.0
67.5,68.9,67.5,10.6,0.0,0.0
67.5,69.0,67.5,10.6,0.0,0.0
67.6,69.0,67.6,10.5,0.0,0.0
67.7,69.2,67.7,10.5,0.0,0.0
67.8,69.3,67.8,10.5,0.0,0.0
68.0,69.5,68.0,10.5,0.0,0.0
68.1,69.6,68.1,10.4,0.0,0.0
68.3,69.8,68.3,10.4,0.0,0.0
68.3,69.8,68.3,10.4,0.0,0.0
68.4,69.9,68.4,10.3,0.0,0.0
68.4,69.9,68.4,10.3,0.0,0.0
68.5,70.0,68.5,10.2,0.0,0.0
68.6,70.0,68.6,10.2,0.0,0.0
68.7,70.2,68.7,10.1,0.0,0.0
68.8,70.3,68.8,10.0,0.0,0.0
69.0,70.5,69.0,10.0,0.0,0.0
69.2,70.7,69.2,9.9,0.0,0.0
69.5,71.0,69.5,9.9,0.0,0.0
69.7,71.2,69.7,9.8,0.0,0.0
69.9,71.4,69.9,9.7,0.0,0.0
70.0,71.5,70.0,9.7,0.0,0.0
70.1,71.6,70.1,9.6,0.0,0.0
70.2,71.7,70.2,9.5,0.0,0.0
70.3,71.8,70.3,9.4,0.0,0.0
70.4,71.9,70.4,9.3,0.0,0.0
