gen_0_5,gen_1_0,gen_2_1,gen_5_2,gen_5_3,gen_7_4
75.8,77.5,75.8,17.5,0.0,0.0
75.7,77.3,75.7,17.6,0.0,0.0
75.4,77.0,75.4,17.7,0.0,0.0
75.0,76.7,75.0,17.7,0.0,0.0
74.6,76.2,74.6,17.7,0.0,0.0
74.2,75.8,74.2,17.8,0.0,0.0
73.6,75.2,73.6,17.7,0.0,0.0
73.1,74.7,73.1,17.7,0.0,0.0
72.5,74.1,72.5,17.7,0.0,0.0
72.0,73.5,72.0,17.6,0.0,0.0
71.5,73.0,71.5,17.5,0.0,0.0
71.0,72.6,71.0,17.4,0.0,0.0
70.7,72.3,70.7,17.2,0.0,0.0
70.5,72.1,70.5,17.1,0.0,0.0
70.4,71.9,70.4,16.9,0.0,0.0
70.4,71.9,70.4,16.7,0.0,0.0
70.4,71.9,70.4,16.5,0.0,0.0
70.4,71.9,70.4,16.3,0.0,0.0
70.4,71.9,70.4,16.1,0.0,0.0
70.4,71.9,70.4,15.9,0.0,0.0
70.3,71.8,70.3,15.7,0.0,0.0
70.2,71.7,70.2,15.4,0.0,0.0
70.1,71.6,70.1,15.2,0.0,0.0
70.0,71.5,70.0,14.9,0.0,0.0
69.9,71.4,69.9,14.7,0.0,0.0
69.9,71.4,69.9,14.4,0.0,0.0
69.9,71.4,69.9,14.2,0.0,0.0
69.9,71.4,69.9,14.0,0.0,0.0
69.8,71.4,69.8,13.7,0.0,0.0
69.8,71.3,69.8,13.5,0.0,0.0
69.6,71.1,69.6,13.2,0.0,0.0
69.3,70.8,69.3,13.0,0.0,0.0
69.0,70.5,69.0,12.7,0.0,0.0
68.6,70.1,68.6,12.6,0.0,0.0
68.2,69.7,68.2,12.3,0.0,0.0
67.9,69.3,67.9,12.1,0.0,0.0
67.5,69.0,67.5,11.9,0.0,0.0
67.3,68.7,67.3,11.7,0.0,0.0
67.0,68.5,67.0,11.5,0.0,0.0
66.9,68.3,66.9,11.3,0.0,0.0
