gen_0_4,gen_1_0,gen_2_1,gen_5_2,gen_7_3
74.8,76.4,74.8,18.3,0.0
74.5,76.1,74.5,18.9,0.0
74.1,75.7,74.1,19.5,0.0
73.6,75.2,73.6,20.2,0.0
73.1,74.6,73.1,20.8,0.0
72.4,74.0,72.4,21.4,0.0
71.8,73.3,71.8,22.0,0.0
71.1,72.6,71.1,22.6,0.0
70.3,71.9,70.3,23.1,0.0
69.6,71.1,69.6,23.7,0.0
68.9,70.4,68.9,24.3,0.0
68.4,69.8,68.4,24.8,0.0
67.9,69.3,67.9,25.3,0.0
67.5,68.9,67.5,25.8,0.0
67.2,68.6,67.2,26.3,0.0
67.0,68.4,67.0,26.8,0.0
66.8,68.2,66.8,27.2,0.0
66.6,68.1,66.6,27.7,0.0
66.4,67.9,66.4,28.1,0.0
66.2,67.6,66.2,28.5,0.0
65.9,67.4,65.9,28.9,0.0
65.7,67.1,65.7,29.3,0.0
65.4,66.8,65.4,29.7,0.0
65.1,66.5,65.1,30.1,0.0
64.9,66.3,64.9,30.5,0.0
64.7,66.1,64.7,30.8,0.0
64.5,65.9,64.5,31.2,0.0
64.3,65.7,64.3,31.6,0.0
64.1,65.5,64.1,31.9,0.0
63.9,65.2,63.9,32.2,0.0
63.5,64.9,63.5,32.6,0.0
63.1,64.5,63.1,32.9,0.0
62.6,64.0,62.6,33.2,0.0
62.1,63.4,62.1,33.6,0.0
61.5,62.8,61.5,33.9,0.0
61.0,62.3,61.0,34.2,0.0
60.5,61.8,60.5,34.6,0.0
60.1,61.4,60.1,34.9,0.0
59.7,61.0,59.7,35.3,0.0
59.3,60.6,59.3,35.6,0.0
59.0,60.3,59.0,36.0,0.0
58.7,59.9,58.7,36.4,0.0
58.3,59.6,58.3,36.7,0.0
57.9,59.2,57.9,37.1,0.0
57.5,58.8,57.5,37.5,0.0
57.1,58.3,57.1,38.0,0.0
56.7,57.9,56.7,38.4,0.0
56.3,57.5,56.3,38.9,0.0
55.9,57.1,55.9,39.3,0.0
55.6,56.8,55.6,39.8,0.0
55.3,56.5,55.3,40.3,0.0
55.0,56.2,55.0,40.8,0.0
54.8,56.0,54.8,41.4,0.0
54.6,55.7,54.6,41.9,0.0
54.3,55.5,54.3,42.5,0.0
54.0,55.2,54.0,43.0,0.0
53.7,54.9,53.7,43.6,0.0
53.4,54.6,53.4,44.1,0.0
53.1,54.3,53.1,44.7,0.0
52.9,54.0,52.9,45.3,0.0
52.7,53.8,52.7,45.8,0.0
52.5,53.7,52.5,46.4,0.0
52.4,53.6,52.4,47.0,0.0
52.4,53.5,52.4,47.5,0.0
52.3,53.4,52.3,48.1,0.0
52.2,53.3,52.2,48.6,0.0
52.1,53.3,52.1,49.1,0.0
52.0,53.1,52.0,49.6,0.0
51.8,53.0,51.8,50.1,0.0
51.7,52.8,51.7,50.6,0.0
51.5,52.6,51.5,51.1,0.0
51.4,52.5,51.4,51.5,0.0
51.3,52.4,51.3,51.9,0.0
51.3,52.4,51.3,52.3,0.0
51.3,52.4,51.3,52.7,0.0
51.3,52.4,51.3,53.1,0.0
51.4,52.5,51.4,53.4,0.0
51.4,52.5,51.4,53.8,0.0
51.4,52.6,51.4,54.1,0.0
51.4,52.5,51.4,54.4,0.0
