gen_0_4,gen_1_0,gen_2_1,gen_5_2,gen_7_3
79.0,80.7,79.0,12.5,0.0
78.9,80.6,78.9,12.5,0.0
78.7,80.4,78.7,12.5,0.0
78.4,80.1,78.4,12.5,0.0
78.1,79.8,78.1,12.5,0.0
77.6,79.3,77.6,12.6,0.0
77.1,78.8,77.1,12.6,0.0
76.6,78.3,76.6,12.6,0.0
76.0,77.7,76.0,12.6,0.0
75.5,77.1,75.5,12.7,0.0
75.0,76.6,75.0,12.7,0.0
74.5,76.1,74.5,12.7,0.0
74.2,75.8,74.2,12.8,0.0
73.9,75.5,73.9,12.8,0.0
73.8,75.4,73.8,12.9,0.0
73.7,75.3,73.7,12.9,0.0
73.7,75.3,73.7,13.0,0.0
73.6,75.2,73.6,13.0,0.0
73.6,75.2,73.6,13.1,0.0
73.5,75.0,73.5,13.1,0.0
73.3,74.9,73.3,13.2,0.0
73.1,74.7,73.1,13.2,0.0
73.0,74.5,73.0,13.3,0.0
72.8,74.4,72.8,13.3,0.0
72.7,74.2,72.7,13.4,0.0
72.6,74.1,72.6,13.4,0.0
72.5,74.1,72.5,13.5,0.0
72.4,74.0,72.4,13.5,0.0
72.3,73.9,72.3,13.6,0.0
72.1,73.7,72.1,13.6,0.0
71.9,73.4,71.9,13.7,0.0
71.5,73.1,71.5,13.7,0.0
71.1,72.7,71.1,13.8,0.0
70.7,72.2,70.7,13.8,0.0
70.2,71.7,70.2,13.8,0.0
69.8,71.3,69.8,13.9,0.0
69.3,70.9,69.3,13.9,0.0
69.0,70.5,69.0,13.9,0.0
68.7,70.2,68.7,14.0,0.0
68.5,70.0,68.5,14.0,0.0
68.3,69.8,68.3,14.0,0.0
68.1,69.5,68.1,14.0,0.0
67.8,69.3,67.8,14.0,0.0
67.6,69.0,67.6,14.0,0.0
67.3,68.7,67.3,14.0,0.0
67.0,68.4,67.0,13.9,0.0
66.7,68.1,66.7,13.9,0.0
66.5,67.9,66.5,13.9,0.0
66.3,67.7,66.3,13.8,0.0
66.1,67.5,66.1,13.8,0.0
66.0,67.4,66.0,13.7,0.0
65.9,67.4,65.9,13.7,0.0
65.9,67.3,65.9,13.6,0.0
65.8,67.3,65.8,13.6,0.0
65.8,67.2,65.8,13.5,0.0
65.7,67.1,65.7,13.4,0.0
65.6,67.0,65.6,13.3,0.0
65.5,66.9,65.5,13.2,0.0
65.5,66.9,65.5,13.2,0.0
65.4,66.8,65.4,13.1,0.0
65.4,66.8,65.4,13.0,0.0
65.5,66.9,65.5,12.9,0.0
65.6,67.0,65.6,12.8,0.0
65.8,67.2,65.8,12.7,0.0
65.9,67.3,65.9,12.6,0.0
66.0,67.5,66.0,12.5,0.0
66.2,67.6,66.2,12.4,0.0
66.2,67.7,66.2,12.3,0.0
66.3,67.7,66.3,12.2,0.0
66.3,67.7,66.3,12.1,0.0
66.3,67.8,66.3,12.0,0.0
66.4,67.8,66.4,11.9,0.0
66.5,67.9,66.5,11.8,0.0
66.6,68.0,66.6,11.8,0.0
66.8,68.2,66.8,11.7,0.0
67.0,68.4,67.0,11.6,0.0
67.1,68.6,67.1,11.5,0.0
67.3,68.8,67.3,11.4,0.0
67.5,68.9,67.5,11.4,0.0
67.6,69.1,67.6,11.3,0.0
