gen_0_4,gen_1_0,gen_2_1,gen_5_2,gen_7_3
73.5,75.1,73.5,29.9,0.0
73.3,74.8,73.3,30.5,0.0
72.9,74.5,72.9,31.0,0.0
72.4,74.0,72.4,31.5,0.0
71.9,73.5,71.9,32.0,0.0
71.3,72.9,71.3,32.4,0.0
70.7,72.2,70.7,32.9,0.0
70.0,71.5,70.0,33.4,0.0
69.3,70.8,69.3,33.8,0.0
68.6,70.1,68.6,34.3,0.0
67.9,69.4,67.9,34.7,0.0
67.4,68.8,67.4,35.1,0.0
66.9,68.3,66.9,35.5,0.0
66.5,68.0,66.5,35.9,0.0
66.3,67.7,66.3,36.3,0.0
66.1,67.5,66.1,36.6,0.0
66.0,67.4,66.0,37.0,0.0
65.8,67.3,65.8,37.3,0.0
65.7,67.1,65.7,37.6,0.0
65.5,66.9,65.5,37.9,0.0
65.3,66.7,65.3,38.2,0.0
65.0,66.4,65.0,38.5,0.0
64.8,66.2,64.8,38.8,0.0
64.5,65.9,64.5,39.0,0.0
64.3,65.7,64.3,39.3,0.0
64.2,65.6,64.2,39.5,0.0
64.0,65.4,64.0,39.7,0.0
63.9,65.3,63.9,40.0,0.0
63.7,65.1,63.7,40.1,0.0
63.5,64.9,63.5,40.3,0.0
63.2,64.6,63.2,40.5,0.0
62.9,64.2,62.9,40.7,0.0
62.4,63.8,62.4,40.8,0.0
61.9,63.3,61.9,40.9,0.0
61.4,62.8,61.4,41.1,0.0
60.9,62.3,60.9,41.2,0.0
60.5,61.8,60.5,41.3,0.0
60.2,61.5,60.2,41.4,0.0
59.9,61.2,59.9,41.4,0.0
59.6,60.9,59.6,41.5,0.0
59.4,60.7,59.4,41.6,0.0
59.1,60.4,59.1,41.6,0.0
58.9,60.2,58.9,41.6,0.0
58.6,59.9,58.6,41.7,0.0
58.3,59.6,58.3,41.7,0.0
58.0,59.3,58.0,41.7,0.0
57.7,59.0,57.7,41.7,0.0
57.5,58.7,57.5,41.7,0.0
57.3,58.5,57.3,41.6,0.0
57.1,58.4,57.1,41.6,0.0
57.0,58.3,57.0,41.6,0.0
56.9,58.2,56.9,41.5,0.0
56.9,58.1,56.9,41.5,0.0
56.8,58.1,56.8,41.4,0.0
56.8,58.0,56.8,41.3,0.0
56.7,57.9,56.7,41.3,0.0
56.6,57.8,56.6,41.2,0.0
56.5,57.7,56.5,41.2,0.0
56.4,57.6,56.4,41.1,0.0
56.4,57.6,56.4,41.1,0.0
56.4,57.6,56.4,41.0,0.0
56.4,57.6,56.4,41.0,0.0
56.5,57.7,56.5,40.9,0.0
56.6,57.9,56.6,40.9,0.0
56.8,58.0,56.8,40.9,0.0
56.9,58.1,56.9,40.9,0.0
56.9,58.2,56.9,40.9,0.0
57.0,58.2,57.0,40.9,0.0
57.0,58.2,57.0,41.0,0.0
56.9,58.2,56.9,41.0,0.0
56.9,58.2,56.9,41.1,0.0
56.9,58.1,56.9,41.2,0.0
56.9,58.2,56.9,41.3,0.0
57.0,58.2,57.0,41.5,0.0
57.1,58.3,57.1,41.6,0.0
57.2,58.4,57.2,41.8,0.0
57.3,58.5,57.3,42.0,0.0
57.4,58.6,57.4,42.2,0.0
57.4,58.7,57.4,42.4,0.0
57.5,58.7,57.5,42.6,0.0
57.5,58.7,57.5,42.8,0.0
57.4,58.7,57.4,43.0,0.0
57.4,58.6,57.4,43.2,0.0
57.3,58.6,57.3,43.5,0.0
57.3,58.5,57.3,43.7,0.1
57.3,58.5,57.3,43.9,0.1
57.3,58.5,57.3,44.2,0.2
57.3,58.6,57.3,44.4,0.3
57.4,58.6,57.4,44.6,0.4
57.4,58.6,57.4,44.8,0.5
57.4,58.7,57.4,45.0,0.6
57.5,58.7,57.5,45.2,0.8
57.5,58.7,57.5,45.4,1.0
57.5,58.8,57.5,45.5,1.2
57.5,58.8,57.5,45.7,1.5
57.5,58.8,57.5,45.8,1.8
57.5,58.8,57.5,45.9,2.1
57.5,58.8,57.5,46.0,2.5
57.5,58.7,57.5,46.0,2.9
57.5,58.7,57.5,46.1,3.3
57.5,58.7,57.5,46.1,3.7
57.5,58.7,57.5,46.2,4.1
57.5,58.8,57.5,46.2,4.6
57.6,58.8,57.6,46.2,5.0
57.6,58.9,57.6,46.1,5.5
57.7,59.0,57.7,46.1,5.9
57.9,59.1,57.9,46.1,6.3
58.0,59.3,58.0,46.0,6.7
58.2,59.4,58.2,46.0,7.1
58.4,59.6,58.4,45.9,7.5
58.6,59.8,58.6,45.9,7.9
58.8,60.1,58.8,45.8,8.3
59.0,60.3,59.0,45.7,8.6
59.2,60.5,59.2,45.6,9.0
59.4,60.7,59.4,45.6,9.3
59.6,60.9,59.6,45.5,9.6
59.8,61.1,59.8,45.4,9.9
59.9,61.2,59.9,45.3,10.2
60.1,61.4,60.1,45.2,10.4
60.3,61.6,60.3,45.2,10.7
60.4,61.7,60.4,45.1,10.9
60.6,61.9,60.6,45.0,11.1
60.7,62.0,60.7,45.0,11.3
60.9,62.2,60.9,44.9,11.5
61.0,62.3,61.0,44.9,11.7
61.1,62.4,61.1,44.8,11.8
61.2,62.5,61.2,44.8,12.0
61.3,62.6,61.3,44.8,12.1
61.3,62.7,61.3,44.7,12.3
61.4,62.7,61.4,44.7,12.4
61.4,62.7,61.4,44.7,12.5
61.4,62.8,61.4,44.7,12.6
61.5,62.8,61.5,44.7,12.7
61.5,62.9,61.5,44.7,12.9
61.6,62.9,61.6,44.7,12.9
61.7,63.0,61.7,44.8,13.0
61.7,63.1,61.7,44.8,13.1
61.8,63.1,61.8,44.8,13.2
61.9,63.2,61.9,44.9,13.3
61.9,63.3,61.9,44.9,13.3
62.0,63.3,62.0,45.0,13.4
62.1,63.4,62.1,45.1,13.4
62.1,63.4,62.1,45.2,13.5
62.1,63.5,62.1,45.3,13.5
62.2,63.5,62.2,45.4,13.5
62.2,63.6,62.2,45.5,13.6
62.2,63.6,62.2,45.6,13.6
62.3,63.6,62.3,45.7,13.6
62.3,63.7,62.3,45.9,13.5
