gen_0_4,gen_1_0,gen_2_1,gen_5_2,gen_7_3
70.6,72.2,70.6,37.5,0.0
70.8,72.3,70.8,36.9,0.0
70.8,72.3,70.8,36.3,0.0
70.7,72.2,70.7,35.7,0.0
70.5,72.1,70.5,35.0,0.0
70.3,71.8,70.3,34.4,0.0
70.0,71.5,70.0,33.9,0.0
69.7,71.2,69.7,33.3,0.0
69.3,70.8,69.3,32.7,0.0
68.9,70.4,68.9,32.1,0.0
68.6,70.1,68.6,31.6,0.0
68.4,69.9,68.4,31.0,0.0
68.2,69.7,68.2,30.5,0.0
68.2,69.6,68.2,29.9,0.0
68.2,69.7,68.2,29.4,0.0
68.3,69.8,68.3,28.9,0.0
68.5,69.9,68.5,28.4,0.0
68.6,70.1,68.6,27.9,0.0
68.7,70.2,68.7,27.4,0.0
68.8,70.3,68.8,26.9,0.0
68.8,70.3,68.8,26.5,0.0
68.8,70.3,68.8,26.0,0.0
68.8,70.3,68.8,25.6,0.0
68.8,70.3,68.8,25.1,0.0
68.8,70.3,68.8,24.7,0.0
68.9,70.4,68.9,24.3,0.0
68.9,70.4,68.9,23.9,0.0
69.0,70.5,69.0,23.5,0.0
69.0,70.5,69.0,23.1,0.0
69.0,70.5,69.0,22.7,0.0
68.9,70.4,68.9,22.4,0.0
68.7,70.2,68.7,22.0,0.0
68.4,69.9,68.4,21.7,0.0
68.1,69.6,68.1,21.3,0.0
67.7,69.2,67.7,21.0,0.0
67.4,68.9,67.4,20.7,0.0
67.1,68.6,67.1,20.4,0.0
66.9,68.3,66.9,20.1,0.0
66.7,68.1,66.7,19.8,0.0
66.6,68.0,66.6,19.6,0.0
66.4,67.9,66.4,19.3,0.0
66.3,67.7,66.3,19.0,0.0
66.1,67.6,66.1,18.8,0.0
65.9,67.4,65.9,18.6,0.0
65.7,67.2,65.7,18.3,0.0
65.5,66.9,65.5,18.1,0.0
65.3,66.7,65.3,17.9,0.0
65.1,66.5,65.1,17.7,0.0
64.9,66.4,64.9,17.5,0.0
64.8,66.2,64.8,17.3,0.0
64.8,66.2,64.8,17.1,0.0
64.8,66.2,64.8,17.0,0.0
64.7,66.1,64.7,16.8,0.0
64.7,66.1,64.7,16.6,0.0
64.7,66.1,64.7,16.5,0.0
64.6,66.0,64.6,16.3,0.0
64.6,66.0,64.6,16.2,0.0
64.5,65.9,64.5,16.0,0.0
64.5,65.9,64.5,15.9,0.0
64.4,65.8,64.4,15.7,0.0
64.5,65.9,64.5,15.6,0.0
64.6,66.0,64.6,15.4,0.0
64.7,66.1,64.7,15.3,0.0
64.9,66.3,64.9,15.1,0.0
65.0,66.5,65.0,14.9,0.0
65.2,66.6,65.2,14.8,0.0
65.3,66.8,65.3,14.6,0.0
65.4,66.9,65.4,14.4,0.0
65.5,66.9,65.5,14.2,0.0
65.6,67.0,65.6,14.0,0.0
65.6,67.1,65.6,13.8,0.0
65.7,67.1,65.7,13.6,0.0
65.8,67.3,65.8,13.4,0.0
66.0,67.5,66.0,13.2,0.0
66.2,67.7,66.2,13.0,0.0
66.5,67.9,66.5,12.8,0.0
66.7,68.2,66.7,12.5,0.0
66.9,68.4,66.9,12.3,0.0
67.2,68.6,67.2,12.1,0.0
67.3,68.8,67.3,11.9,0.0
67.4,68.9,67.4,11.6,0.0
67.6,69.0,67.6,11.4,0.0
67.7,69.1,67.7,11.2,0.0
67.8,69.2,67.8,11.0,0.0
67.9,69.3,67.9,10.8,0.1
68.0,69.5,68.0,10.6,0.1
68.2,69.6,68.2,10.4,0.2
68.3,69.8,68.3,10.2,0.3
68.5,70.0,68.5,10.0,0.4
68.6,70.1,68.6,9.9,0.6
68.8,70.3,68.8,9.7,0.7
68.9,70.4,68.9,9.5,0.9
69.0,70.5,69.0,9.4,1.2
69.1,70.6,69.1,9.3,1.4
69.2,70.7,69.2,9.2,1.7
69.3,70.8,69.3,9.0,2.1
69.3,70.8,69.3,8.9,2.4
69.4,70.9,69.4,8.9,2.8
69.4,70.9,69.4,8.8,3.3
69.4,70.9,69.4,8.7,3.7
69.4,70.9,69.4,8.6,4.1
69.4,70.9,69.4,8.6,4.6
69.5,71.0,69.5,8.5,5.0
69.5,71.0,69.5,8.5,5.5
69.6,71.1,69.6,8.4,5.9
69.7,71.2,69.7,8.4,6.4
69.9,71.4,69.9,8.4,6.8
70.0,71.5,70.0,8.4,7.1
70.2,71.7,70.2,8.3,7.5
70.4,71.9,70.4,8.3,7.8
70.6,72.1,70.6,8.3,8.1
70.8,72.3,70.8,8.3,8.4
71.0,72.6,71.0,8.3,8.7
71.3,72.8,71.3,8.2,8.9
71.5,73.0,71.5,8.2,9.1
71.7,73.2,71.7,8.2,9.3
71.9,73.4,71.9,8.2,9.4
72.1,73.6,72.1,8.2,9.6
72.3,73.8,72.3,8.2,9.7
72.4,74.0,72.4,8.1,9.8
72.6,74.2,72.6,8.1,9.8
72.8,74.4,72.8,8.1,9.9
73.0,74.6,73.0,8.1,9.9
73.2,74.8,73.2,8.0,9.9
73.4,75.0,73.4,8.0,9.9
73.6,75.2,73.6,8.0,9.9
73.7,75.3,73.7,7.9,9.9
73.9,75.5,73.9,7.9,9.9
74.0,75.6,74.0,7.8,9.8
74.1,75.7,74.1,7.8,9.8
74.2,75.8,74.2,7.8,9.7
74.3,75.9,74.3,7.7,9.7
74.4,76.0,74.4,7.7,9.6
74.5,76.1,74.5,7.6,9.6
74.6,76.2,74.6,7.6,9.5
74.8,76.4,74.8,7.5,9.4
74.9,76.5,74.9,7.5,9.4
75.1,76.7,75.1,7.4,9.3
75.2,76.8,75.2,7.4,9.3
75.3,77.0,75.3,7.3,9.2
75.5,77.1,75.5,7.3,9.2
75.6,77.2,75.6,7.2,9.1
75.7,77.4,75.7,7.2,9.1
75.8,77.5,75.8,7.1,9.0
75.9,77.6,75.9,7.1,9.0
76.0,77.7,76.0,7.0,9.0
76.1,77.8,76.1,7.0,8.9
76.2,77.9,76.2,7.0,8.9
76.3,78.0,76.3,6.9,8.9
76.5,78.1,76.5,6.9,8.9
76.6,78.3,76.6,6.8,8.8
76.8,78.5,76.8,6.8,8.8
77.0,78.6,77.0,6.7,8.8
77.1,78.8,77.1,6.7,8.8
77.2,78.9,77.2,6.6,8.7
77.2,78.9,77.2,6.6,8.7
77.1,78.8,77.1,6.5,8.7
76.9,78.6,76.9,6.5,8.6
76.5,78.2,76.5,6.4,8.6
76.1,77.8,76.1,6.4,8.5
75.6,77.3,75.6,6.4,8.5
75.1,76.8,75.1,6.3,8.4
74.7,76.3,74.7,6.3,8.3
74.2,75.8,74.2,6.2,8.2
73.8,75.4,73.8,6.2,8.1
73.5,75.1,73.5,6.1,7.9
73.2,74.8,73.2,6.1,7.8
73.0,74.6,73.0,6.0,7.6
72.8,74.4,72.8,6.0,7.4
72.6,74.2,72.6,6.0,7.2
72.5,74.1,72.5,5.9,7.0
72.4,74.0,72.4,5.9,6.7
72.3,73.9,72.3,5.8,6.5
72.2,73.8,72.2,5.8,6.2
72.1,73.6,72.1,5.7,5.9
71.9,73.5,71.9,5.7,5.6
71.7,73.2,71.7,5.6,5.3
71.5,73.0,71.5,5.6,4.9
71.2,72.8,71.2,5.5,4.6
71.1,72.6,71.1,5.5,4.2
70.9,72.5,70.9,5.5,3.9
70.9,72.4,70.9,5.4,3.5
70.8,72.4,70.8,5.4,3.2
70.9,72.4,70.9,5.3,2.8
70.9,72.4,70.9,5.3,2.5
70.9,72.5,70.9,5.2,2.2
71.0,72.5,71.0,5.2,1.8
70.9,72.5,70.9,5.1,1.5
70.9,72.4,70.9,5.1,1.2
70.8,72.4,70.8,5.0,1.0
70.8,72.3,70.8,5.0,0.7
70.7,72.2,70.7,4.9,0.5
70.7,72.2,70.7,4.8,0.4
70.6,72.2,70.6,4.8,0.2
70.6,72.1,70.6,4.7,0.1
70.6,72.1,70.6,4.7,0.1
70.6,72.1,70.6,4.6,0.0
70.6,72.1,70.6,4.6,0.0
70.6,72.2,70.6,4.5,0.0
70.6,72.2,70.6,4.5,0.0
70.7,72.2,70.7,4.4,0.0
70.7,72.2,70.7,4.4,0.0
70.8,72.3,70.8,4.4,0.0
70.9,72.4,70.9,4.3,0.0
71.0,72.5,71.0,4.3,0.0
71.1,72.6,71.1,4.2,0.0
71.3,72.8,71.3,4.2,0.0
71.5,73.1,71.5,4.2,0.0
71.8,73.4,71.8,4.1,0.0
72.1,73.7,72.1,4.1,0.0
72.5,74.1,72.5,4.1,0.0
72.9,74.5,72.9,4.1,0.0
73.4,75.0,73.4,4.0,0.0
74.0,75.6,74.0,4.0,0.0
74.5,76.1,74.5,4.0,0.0
75.1,76.7,75.1,4.0,0.0
75.7,77.3,75.7,4.0,0.0
76.3,77.9,76.3,4.0,0.0
76.9,78.5,76.9,4.0,0.0
77.5,79.1,77.5,4.0,0.0
78.1,79.7,78.1,4.1,0.0
78.6,80.3,78.6,4.1,0.0
79.2,81.0,79.2,4.1,0.0
79.8,81.5,79.8,4.1,0.0
80.4,82.1,80.4,4.1,0.0
80.9,82.7,80.9,4.1,0.0
