gen_0_4,gen_1_0,gen_2_1,gen_5_2,gen_7_3
77.7,79.4,77.7,9.6,0.0
77.6,79.3,77.6,9.7,0.0
77.4,79.1,77.4,9.8,0.0
77.1,78.7,77.1,10.0,0.0
76.7,78.3,76.7,10.1,0.0
76.2,77.9,76.2,10.2,0.0
75.7,77.3,75.7,10.3,0.0
75.1,76.7,75.1,10.5,0.0
74.5,76.1,74.5,10.6,0.0
73.9,75.6,73.9,10.8,0.0
73.4,75.0,73.4,10.9,0.0
72.9,74.5,72.9,11.1,0.0
72.5,74.1,72.5,11.3,0.0
72.3,73.8,72.3,11.4,0.0
72.1,73.6,72.1,11.6,0.0
72.0,73.5,72.0,11.8,0.0
71.9,73.4,71.9,12.0,0.0
71.8,73.3,71.8,12.2,0.0
71.7,73.2,71.7,12.4,0.0
71.5,73.1,71.5,12.6,0.0
71.3,72.9,71.3,12.8,0.0
71.1,72.7,71.1,13.0,0.0
70.9,72.4,70.9,13.2,0.0
70.7,72.2,70.7,13.4,0.0
70.5,72.0,70.5,13.6,0.0
70.3,71.9,70.3,13.9,0.0
70.2,71.7,70.2,14.1,0.0
70.1,71.6,70.1,14.3,0.0
69.9,71.4,69.9,14.5,0.0
69.7,71.2,69.7,14.8,0.0
69.4,70.9,69.4,15.0,0.0
69.0,70.5,69.0,15.2,0.0
68.5,70.0,68.5,15.5,0.0
68.0,69.5,68.0,15.7,0.0
67.5,69.0,67.5,15.9,0.0
67.0,68.4,67.0,16.2,0.0
66.5,68.0,66.5,16.4,0.0
66.1,67.6,66.1,16.6,0.0
65.8,67.2,65.8,16.9,0.0
65.5,66.9,65.5,17.1,0.0
65.2,66.6,65.2,17.3,0.0
64.9,66.3,64.9,17.5,0.0
64.6,66.0,64.6,17.7,0.0
64.3,65.7,64.3,18.0,0.0
63.9,65.3,63.9,18.2,0.0
63.6,65.0,63.6,18.4,0.0
63.2,64.6,63.2,18.6,0.0
62.9,64.3,62.9,18.7,0.0
62.7,64.0,62.7,18.9,0.0
62.4,63.8,62.4,19.1,0.0
62.3,63.6,62.3,19.3,0.0
62.1,63.5,62.1,19.4,0.0
62.0,63.4,62.0,19.6,0.0
61.9,63.2,61.9,19.7,0.0
61.8,63.1,61.8,19.9,0.0
61.6,63.0,61.6,20.0,0.0
61.5,62.8,61.5,20.1,0.0
61.3,62.6,61.3,20.3,0.0
61.2,62.5,61.2,20.4,0.0
61.1,62.4,61.1,20.5,0.0
61.0,62.3,61.0,20.7,0.0
61.0,62.3,61.0,20.8,0.0
61.0,62.4,61.0,20.9,0.0
61.1,62.4,61.1,21.0,0.0
61.2,62.5,61.2,21.2,0.0
61.2,62.6,61.2,21.3,0.0
61.3,62.6,61.3,21.4,0.0
61.3,62.6,61.3,21.6,0.0
61.2,62.6,61.2,21.7,0.0
61.2,62.5,61.2,21.8,0.0
61.1,62.5,61.1,22.0,0.0
61.1,62.4,61.1,22.1,0.0
61.1,62.4,61.1,22.3,0.0
61.2,62.5,61.2,22.5,0.0
61.2,62.6,61.2,22.6,0.0
61.3,62.7,61.3,22.8,0.0
61.4,62.8,61.4,23.0,0.0
61.5,62.9,61.5,23.2,0.0
61.6,62.9,61.6,23.4,0.0
61.6,63.0,61.6,23.6,0.0
61.6,62.9,61.6,23.8,0.0
61.6,62.9,61.6,24.0,0.0
61.5,62.9,61.5,24.2,0.0
61.5,62.8,61.5,24.4,0.0
61.5,62.8,61.5,24.6,0.1
61.5,62.8,61.5,24.8,0.1
61.5,62.8,61.5,25.0,0.2
61.5,62.9,61.5,25.2,0.2
61.6,62.9,61.6,25.5,0.3
61.6,62.9,61.6,25.7,0.5
61.6,62.9,61.6,25.9,0.6
61.6,63.0,61.6,26.1,0.8
61.6,63.0,61.6,26.3,1.0
61.6,63.0,61.6,26.5,1.3
61.6,62.9,61.6,26.7,1.5
61.6,62.9,61.6,26.9,1.9
61.5,62.8,61.5,27.1,2.2
61.4,62.8,61.4,27.3,2.6
61.4,62.7,61.4,27.5,3.1
61.3,62.6,61.3,27.7,3.5
61.2,62.5,61.2,27.9,4.0
