load_1,load_1_0,load_2_1,load_3_2,load_4_3,load_5_4,load_6_,load_7_,load_8_5,load_9_6,load_10_7,load_11_8,load_12_9,load_13_10
0,23.3,80.7,45.7,7.2,11.9,0,0,27.0,8.8,3.5,5.5,11.8,14.5
0,23.5,81.2,45.9,7.1,11.8,0,0,27.1,8.9,3.5,5.4,11.9,14.4
0,23.2,81.7,46.7,7.0,11.8,0,0,27.4,8.7,3.5,5.5,11.7,14.7
0,22.9,81.6,46.1,7.1,12.0,0,0,26.7,8.9,3.5,5.5,11.5,14.5
0,23.1,80.4,44.5,7.1,11.8,0,0,27.2,8.7,3.5,5.5,11.6,14.4
0,23.1,80.4,44.7,7.0,11.6,0,0,27.0,8.8,3.4,5.3,11.6,14.5
0,22.9,81.0,45.1,7.1,11.6,0,0,26.5,8.8,3.5,5.4,11.3,14.4
0,22.8,79.7,44.8,7.0,11.6,0,0,26.0,8.6,3.4,5.4,11.3,14.5
0,22.6,78.4,44.3,6.9,11.6,0,0,26.4,8.6,3.4,5.3,11.4,14.1
0,22.7,79.4,44.2,6.9,11.6,0,0,26.1,8.5,3.4,5.3,10.9,13.9
0,22.2,78.0,43.7,6.8,11.5,0,0,25.8,8.5,3.3,5.2,11.1,14.0
0,23.1,77.3,43.5,6.7,11.4,0,0,25.2,8.3,3.2,5.1,10.7,13.7
0,22.2,76.9,43.3,6.7,11.1,0,0,25.8,8.4,3.3,5.0,11.0,13.8
0,22.2,76.3,42.9,6.7,11.2,0,0,25.7,8.4,3.3,5.1,10.8,14.1
0,21.9,77.0,42.8,6.6,10.8,0,0,25.3,8.4,3.2,5.1,10.5,13.8
0,22.0,75.9,41.8,6.7,11.1,0,0,25.4,8.3,3.3,5.1,10.7,13.7
0,22.2,74.8,43.0,6.7,11.0,0,0,25.5,8.4,3.2,5.1,10.8,13.6
0,22.1,76.7,42.5,6.6,11.0,0,0,25.3,8.1,3.3,5.0,10.6,13.8
0,22.1,76.3,43.3,6.6,10.9,0,0,25.0,8.2,3.3,5.0,10.5,13.7
0,22.0,76.1,42.4,6.7,11.1,0,0,25.6,8.1,3.2,5.1,10.7,13.9
0,22.0,77.1,42.9,6.5,11.1,0,0,25.0,8.3,3.2,5.1,10.6,13.7
0,21.8,75.6,42.4,6.7,11.1,0,0,25.4,8.3,3.2,5.0,10.4,13.7
0,21.7,76.4,42.5,6.6,11.0,0,0,25.4,8.2,3.2,5.0,10.6,13.7
0,21.8,75.1,42.5,6.5,11.0,0,0,25.3,8.3,3.2,4.9,10.4,13.8
0,21.3,75.5,42.5,6.5,10.9,0,0,25.4,8.1,3.2,5.0,10.5,13.6
0,21.8,76.0,42.4,6.5,11.0,0,0,25.3,8.1,3.3,5.0,10.5,13.6
0,21.9,75.5,42.2,6.5,10.9,0,0,25.2,8.3,3.2,5.0,10.4,13.5
0,22.0,75.7,42.0,6.5,10.9,0,0,25.4,8.0,3.2,4.9,10.4,13.5
0,21.8,74.6,41.9,6.5,10.8,0,0,25.0,8.2,3.1,4.9,10.4,13.8
